delay_bucket,n,n_negative,mean_score,neg_pct,ci_lo,ci_hi,side
30+ e,2712,293,4.259587020648968,10.803834808259587,9.690457871088492,12.02809484311384,on time / early
15-30 e,32059,2840,4.330546804329518,8.858666833026607,8.552536468901447,9.174655508673238,on time / early
7-15 e,40973,3649,4.306543333414687,8.905864837820028,8.633910801267062,9.185523784017938,on time / early
3-7 e,9429,971,4.1932336408951105,10.298016756814084,9.700627300964461,10.927742924098839,on time / early
0-3 e,4270,495,4.112646370023419,11.592505854800937,10.66662615503889,12.587429205766194,on time / early
1,820,161,3.734146341463415,19.634146341463413,17.059555594758958,22.491920647254886,late
2,536,184,3.1791044776119404,34.32835820895522,30.433066494117337,38.446685656052175,late
3,496,250,2.683467741935484,50.403225806451616,46.016960590218794,54.78329315602954,late
4-5,870,524,2.3471264367816094,60.229885057471265,56.93959098507558,63.43023676696059,late
6-7,878,656,1.8712984054669703,74.71526195899773,71.73686769256541,77.47832803553885,late
8-10,756,607,1.6626984126984128,80.29100529100529,77.3052486869499,82.97048313140955,late
11-15,845,672,1.689940828402367,79.5266272189349,76.67524202091792,82.11076504542417,late
16-30,851,699,1.6051703877790835,82.13866039952997,79.42252641359417,84.56594704157044,late
30+,329,223,2.0577507598784193,67.78115501519757,62.55133668152266,72.6005342402205,late
