group,n,n_negative,neg_pct,ci_lo,ci_hi,in_analysis,plotted
"delivered, on time",89443,8248,9.221515378509219,9.033649923477675,9.412883447369486,True,True
"delivered, no delivery date",8,1,12.5,2.2417491199971913,47.08881850560837,False,False
"approved, never arrived",2,1,50.0,9.453120463920083,90.54687953607991,False,False
"delivered, late",6381,3976,62.30998276132268,61.113873176439704,63.49127967061718,True,True
"created, never arrived",3,2,66.66666666666667,20.765959880782425,93.85080559790691,False,False
"shipped, never arrived",1032,715,69.28294573643412,66.40118350099804,72.02168484314396,False,True
"canceled, never arrived",605,464,76.69421487603306,73.16334786321889,79.88822989784393,False,True
"invoiced, never arrived",309,253,81.87702265372168,77.19912401592318,85.77206934970721,False,True
"unavailable, never arrived",595,504,84.70588235294117,81.59188871933156,87.37461215913652,False,True
"processing, never arrived",295,273,92.54237288135593,88.96722040560981,95.0238031088687,False,True
